# Equinor Volve definitive survey 15/9-F-14 (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,-1.240,2.408
155.09,0.18,5.42,155.09,-1.226,2.409
195.44,0.33,37.78,195.44,-1.071,2.487
235.80,0.61,58.22,235.80,-0.866,2.740
276.20,1.55,62.50,276.19,-0.500,3.408
316.60,1.55,67.03,316.58,-0.035,4.395
356.90,1.90,71.62,356.86,0.388,5.530
397.30,3.61,88.22,397.21,0.639,7.437
437.70,4.31,83.62,437.51,0.847,10.216
478.00,4.00,69.33,477.71,1.511,13.035
518.40,3.37,50.31,518.03,2.767,15.266
558.70,2.15,26.90,558.28,4.197,16.519
599.10,0.79,14.51,598.67,5.142,16.932
639.50,0.26,72.65,639.06,5.439,17.089
679.80,0.26,75.13,679.36,5.489,17.265
720.20,0.27,77.66,719.76,5.533,17.446
760.50,0.29,85.64,760.06,5.561,17.641
800.90,0.35,107.43,800.46,5.532,17.860
841.30,0.47,160.22,840.86,5.339,18.034
881.70,0.48,160.60,881.26,5.024,18.146
922.00,0.35,168.30,921.56,4.744,18.227
962.40,0.26,163.24,961.96,4.536,18.279
1002.80,0.22,163.51,1002.36,4.374,18.327
1043.20,0.23,170.57,1042.76,4.219,18.362
1083.50,0.26,215.79,1083.06,4.065,18.322
1123.90,0.26,211.34,1123.46,3.913,18.221
1164.20,0.20,193.67,1163.76,3.766,18.157
1204.60,0.19,177.78,1204.16,3.631,18.143
1245.00,0.19,174.09,1244.56,3.498,18.152
1285.40,0.19,173.14,1284.96,3.364,18.167
1325.80,0.19,171.51,1325.36,3.232,18.185
1366.10,0.18,125.54,1365.66,3.129,18.246
1406.50,0.18,123.89,1406.06,3.057,18.351
1446.80,0.18,125.43,1446.36,2.985,18.455
1487.20,0.18,125.43,1486.75,2.911,18.558
1527.50,0.18,127.74,1527.05,2.836,18.660
1567.90,0.18,129.47,1567.45,2.757,18.759
1608.20,0.18,129.69,1607.75,2.676,18.856
1648.60,0.19,223.96,1648.15,2.587,18.859
1689.00,0.19,223.56,1688.55,2.490,18.766
1729.30,0.19,225.71,1728.85,2.395,18.672
1769.70,0.19,224.86,1769.25,2.301,18.577
1810.00,0.19,226.63,1809.55,2.208,18.481
1850.40,0.19,227.97,1849.95,2.117,18.383
1890.80,0.19,260.83,1890.35,2.062,18.267
1931.10,0.19,261.93,1930.65,2.042,18.135
1971.50,0.19,263.57,1971.05,2.025,18.002
2011.80,0.19,258.37,2011.35,2.004,17.870
2052.50,0.19,238.20,2052.05,1.955,17.747
2092.50,0.16,275.09,2092.05,1.925,17.635
2132.90,1.74,12.52,2132.45,2.528,17.712
2173.20,3.98,16.68,2172.69,4.465,18.246
2213.60,7.98,18.75,2212.86,8.464,19.550
2253.90,8.15,20.38,2252.77,13.788,21.443
2294.30,8.34,21.84,2292.75,19.191,23.530
2334.60,10.09,24.04,2332.53,25.126,26.054
2375.00,12.41,27.18,2372.15,32.218,29.478
2415.30,14.84,28.10,2411.31,40.621,33.886
2455.80,17.20,31.13,2450.24,50.320,39.424
2496.10,19.35,41.69,2488.51,60.407,46.945
2536.50,23.77,49.56,2526.08,70.690,57.597
2576.90,28.22,56.01,2562.40,81.315,71.719
2617.30,32.30,55.37,2597.28,92.790,88.521
2655.90,35.58,54.59,2629.30,105.156,106.158
2673.90,37.39,54.82,2643.77,111.337,114.891
2706.97,39.85,55.29,2669.61,123.153,131.804
2747.16,40.19,55.74,2700.39,137.780,153.099
2790.39,39.56,54.98,2733.57,153.527,175.894
2830.75,43.81,57.30,2763.70,168.453,198.179
2870.67,49.28,59.12,2791.15,183.689,222.802
2911.52,54.40,59.01,2816.38,200.190,250.333
2950.80,60.08,58.76,2837.63,217.249,278.591
2991.49,64.34,59.52,2856.59,235.698,309.475
3032.17,66.85,65.62,2873.41,252.728,342.330
3072.79,69.70,71.10,2888.46,266.614,377.379
3112.44,71.90,73.97,2901.50,277.840,413.080
3153.53,74.71,74.92,2913.30,288.387,450.979
3193.66,77.75,78.46,2922.86,297.347,488.887
3233.21,80.75,81.97,2930.23,303.941,527.154
3273.30,81.08,85.25,2936.57,308.344,566.476
3314.97,76.91,85.46,2944.52,311.655,607.222
3355.37,71.94,85.70,2955.36,314.653,645.997
3395.93,71.34,85.44,2968.14,317.625,684.364
3436.15,67.98,86.53,2982.12,320.268,721.964
3476.50,65.26,89.03,2998.13,321.711,758.953
3514.77,61.86,89.99,3015.17,322.008,793.201
3555.95,57.08,91.40,3036.08,321.588,828.645
3596.23,51.69,92.76,3059.53,320.414,861.345
3638.07,48.65,94.05,3086.33,318.515,893.403
3678.39,49.69,93.65,3112.69,316.468,923.832
3718.84,50.17,93.80,3138.73,314.457,954.710
3729.86,50.26,93.74,3145.78,313.901,963.157
3750.00,50.26,93.74,3158.65,312.891,978.606
