DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,AVG_CHOKE_SIZE_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2013-07-08,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-09,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-10,15/9-F-11,0.000,,,,,0.000,0.000,0.000,,production,OP
2013-07-11,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-12,15/9-F-11,0.000,,,,,0.000,0.000,0.000,,production,OP
2013-07-13,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-14,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-15,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-16,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-17,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-18,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-19,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-20,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-21,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-22,15/9-F-11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,OP
2013-07-23,15/9-F-11,0.000,,,,1.113,0.000,0.000,0.000,,production,OP
