DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,AVG_CHOKE_SIZE_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2007-09-01,15/9-F-4,,,,,,,,,,injection,WI
2007-09-02,15/9-F-4,,,,,,,,,,injection,WI
2007-09-03,15/9-F-4,,,,,,,,,,injection,WI
2007-09-04,15/9-F-4,,,,,,,,,,injection,WI
2007-09-05,15/9-F-4,,,,,,,,,,injection,WI
2007-09-06,15/9-F-4,,,,,,,,,,injection,WI
2007-09-07,15/9-F-4,,,,,,,,,,injection,WI
2007-09-08,15/9-F-4,,,,,,,,,,injection,WI
2007-09-09,15/9-F-4,,,,,,,,,,injection,WI
2007-09-10,15/9-F-4,,,,,,,,,,injection,WI
2007-09-11,15/9-F-4,,,,,,,,,,injection,WI
2007-09-12,15/9-F-4,,,,,,,,,,injection,WI
2007-09-13,15/9-F-4,,,,,,,,,,injection,WI
2007-09-14,15/9-F-4,,,,,,,,,,injection,WI
2007-09-15,15/9-F-4,,,,,,,,,,injection,WI
2007-09-16,15/9-F-4,,,,,,,,,,injection,WI
2007-09-17,15/9-F-4,,,,,,,,,,injection,WI
2007-09-18,15/9-F-4,,,,,,,,,,injection,WI
2007-09-19,15/9-F-4,,,,,,,,,,injection,WI
2007-09-20,15/9-F-4,,,,,,,,,,injection,WI
2007-09-21,15/9-F-4,,,,,,,,,,injection,WI
2007-09-22,15/9-F-4,,,,,,,,,,injection,WI
2007-09-23,15/9-F-4,,,,,,,,,,injection,WI
2007-09-24,15/9-F-4,,,,,,,,,,injection,WI
2007-09-25,15/9-F-4,,,,,,,,,,injection,WI
2007-09-26,15/9-F-4,,,,,,,,,,injection,WI
2007-09-27,15/9-F-4,,,,,,,,,,injection,WI
2007-09-28,15/9-F-4,,,,,,,,,,injection,WI
2007-09-29,15/9-F-4,,,,,,,,,,injection,WI
2007-09-30,15/9-F-4,,,,,,,,,,injection,WI
2007-10-01,15/9-F-4,,,,,,,,,,injection,WI
2007-10-02,15/9-F-4,,,,,,,,,,injection,WI
2007-10-03,15/9-F-4,,,,,,,,,,injection,WI
2007-10-04,15/9-F-4,,,,,,,,,,injection,WI
