# RECONSTRUCTED: 15/9-F-11 A definitive survey to 2585 m MD sidetrack point; below, a smooth path through the official Volve formation-pick coordinates (MD/TVD/E/N) of 15/9-F-11 B
MD,INC,AZI,TVD,NS,EW
1330.00,21.020,283.730,1308.42,21.76,-156.06
1340.00,21.310,283.420,1317.74,22.61,-159.57
1350.00,21.610,283.170,1327.05,23.45,-163.13
1357.70,21.890,282.710,1334.20,24.09,-165.91
1360.00,21.970,282.580,1336.33,24.28,-166.75
1370.00,22.450,281.180,1345.59,25.06,-170.44
1380.00,23.220,278.290,1354.81,25.71,-174.27
1390.00,23.840,276.250,1363.98,26.21,-178.23
1400.00,24.530,274.570,1373.10,26.60,-182.31
1410.00,25.420,271.770,1382.17,26.83,-186.52
1420.00,26.380,269.110,1391.16,26.86,-190.89
1430.00,27.210,266.650,1400.09,26.70,-195.39
1440.00,27.940,264.450,1408.95,26.34,-200.01
1450.00,28.740,261.880,1417.75,25.77,-204.72
1460.00,29.480,260.210,1426.49,25.01,-209.52
1470.00,29.920,259.850,1435.18,24.15,-214.40
1480.00,30.400,259.600,1443.82,23.26,-219.35
1490.00,31.220,259.490,1452.41,22.33,-224.38
1500.00,31.870,259.450,1460.93,21.37,-229.53
1510.00,32.350,259.260,1469.40,20.39,-234.75
1520.00,32.720,259.310,1477.84,19.39,-240.04
1530.00,33.210,259.320,1486.23,18.38,-245.38
1540.00,33.410,259.400,1494.58,17.37,-250.78
1550.00,33.610,259.490,1502.92,16.36,-256.21
1560.00,33.950,259.530,1511.23,15.34,-261.67
1570.00,34.050,259.370,1519.52,14.32,-267.17
1580.00,34.020,258.980,1527.81,13.27,-272.67
1590.00,34.030,258.750,1536.10,12.19,-278.16
1600.00,33.970,258.480,1544.39,11.08,-283.64
1610.00,34.000,258.450,1552.68,9.97,-289.12
1620.00,34.200,258.470,1560.96,8.84,-294.61
1630.00,34.380,258.360,1569.22,7.71,-300.13
1640.00,34.440,258.170,1577.47,6.56,-305.66
1650.00,34.420,257.880,1585.72,5.39,-311.19
1660.00,34.350,257.770,1593.97,4.20,-316.71
1670.00,34.310,257.670,1602.23,3.00,-322.23
1680.00,34.230,257.700,1610.49,1.80,-327.73
1690.00,34.230,257.660,1618.76,0.60,-333.22
1700.00,34.300,257.680,1627.03,-0.60,-338.72
1710.00,34.410,257.590,1635.28,-1.81,-344.23
1720.00,34.040,257.500,1643.55,-3.03,-349.73
1730.00,33.090,257.750,1651.88,-4.21,-355.13
1740.00,32.350,258.270,1660.30,-5.33,-360.41
1750.00,31.640,258.710,1668.78,-6.39,-365.61
1760.00,30.590,259.300,1677.34,-7.38,-370.68
1770.00,29.680,259.790,1685.99,-8.29,-375.62
1780.00,29.070,260.040,1694.70,-9.15,-380.44
1790.00,28.520,260.120,1703.46,-9.98,-385.19
1800.00,27.540,260.260,1712.29,-10.78,-389.82
1810.00,26.370,260.650,1721.21,-11.53,-394.29
1820.00,25.690,260.790,1730.19,-12.24,-398.62
1830.00,25.100,261.160,1739.22,-12.91,-402.86
1840.00,24.310,261.300,1748.31,-13.55,-406.99
1850.00,23.400,261.240,1757.45,-14.16,-410.98
1860.00,22.790,260.740,1766.65,-14.78,-414.86
1870.00,21.920,260.490,1775.90,-15.40,-418.61
1880.00,20.980,260.580,1785.21,-16.00,-422.22
1890.00,20.230,261.020,1794.57,-16.56,-425.69
1900.00,19.650,261.390,1803.97,-17.08,-429.06
1910.00,19.020,261.790,1813.41,-17.57,-432.34
1920.00,18.160,262.110,1822.88,-18.01,-435.49
1930.00,17.320,262.450,1832.41,-18.42,-438.51
1940.00,16.560,262.810,1841.97,-18.80,-441.40
1950.00,15.620,263.530,1851.58,-19.13,-444.15
1960.00,14.580,264.780,1861.24,-19.39,-446.75
1970.00,13.750,265.490,1870.93,-19.60,-449.18
1980.00,13.120,265.750,1880.66,-19.78,-451.50
1990.00,12.110,266.000,1890.42,-19.94,-453.68
2000.00,10.900,266.440,1900.22,-20.07,-455.67
2010.00,10.040,267.490,1910.05,-20.16,-457.48
2020.00,9.280,269.000,1919.91,-20.22,-459.16
2030.00,8.480,271.020,1929.79,-20.22,-460.70
2040.00,7.520,273.530,1939.69,-20.16,-462.09
2050.00,6.870,275.050,1949.61,-20.07,-463.34
2060.00,6.280,277.530,1959.55,-19.95,-464.48
2070.00,5.660,282.490,1969.49,-19.77,-465.50
2080.00,5.240,287.860,1979.45,-19.52,-466.42
2090.00,4.770,293.020,1989.41,-19.22,-467.24
2100.00,4.190,297.860,1999.38,-18.89,-467.94
2110.00,3.370,306.500,2009.36,-18.54,-468.50
2120.00,2.890,317.710,2019.34,-18.18,-468.91
2130.00,2.790,328.960,2029.33,-17.78,-469.20
2140.00,2.930,341.180,2039.32,-17.33,-469.41
2150.00,3.390,355.710,2049.30,-16.80,-469.52
2160.00,3.940,7.560,2059.28,-16.16,-469.49
