# Equinor Volve survey 15/9-F-12 (MD/INC/AZI measured; TVD/NS/EW by minimum curvature, tied to seabed pick coordinate)
MD,INC,AZI,TVD,NS,EW
3210.00,53.430,104.320,2937.97,-298.49,60.54
3240.00,53.430,104.320,2955.85,-304.45,83.89
3270.00,53.430,104.320,2973.72,-310.41,107.24
3273.78,53.430,104.320,2975.97,-311.16,110.18
3300.00,53.430,104.320,2991.60,-316.37,130.58
3330.00,53.430,104.320,3009.47,-322.33,153.93
3360.00,53.430,104.320,3027.34,-328.29,177.27
3390.00,53.430,104.320,3045.22,-334.25,200.62
3420.00,53.430,104.320,3063.09,-340.21,223.96
3438.00,53.430,104.320,3073.82,-343.79,237.97
