# Equinor Volve definitive survey 15/9-F-4 (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,-2.725,-0.199
184.12,0.10,233.25,184.12,-2.745,-0.225
224.45,0.16,227.58,224.45,-2.804,-0.295
264.79,0.84,218.68,264.79,-3.073,-0.521
305.10,1.60,210.39,305.09,-3.789,-0.991
345.45,2.76,227.92,345.41,-4.925,-1.996
385.80,5.17,242.27,385.66,-6.422,-4.326
426.12,7.04,240.40,425.75,-8.487,-8.082
466.40,8.06,224.23,465.68,-11.729,-12.197
506.65,8.85,205.85,505.50,-16.537,-15.514
546.96,8.90,191.34,545.34,-22.383,-17.479
587.28,8.91,181.74,585.17,-28.560,-18.187
627.54,9.00,180.61,624.94,-34.824,-18.315
667.63,9.45,172.33,664.52,-41.219,-17.909
707.96,9.68,168.40,704.29,-47.819,-16.786
748.28,11.47,163.50,743.92,-54.982,-14.966
788.57,13.92,158.60,783.22,-63.334,-12.061
828.91,15.68,154.79,822.22,-72.781,-7.969
869.25,16.74,152.61,860.96,-82.868,-2.976
909.60,16.06,153.68,899.67,-93.027,2.170
949.94,14.95,155.21,938.54,-102.749,6.824
990.29,13.70,155.13,977.63,-111.807,11.015
1030.67,12.89,151.78,1016.93,-120.111,15.154
1071.00,12.15,152.10,1056.30,-127.823,19.266
1111.37,12.64,147.23,1095.73,-135.289,23.643
1151.73,15.84,143.99,1134.85,-143.457,29.271
1192.07,18.18,149.72,1173.42,-153.344,35.680
1232.42,18.49,144.76,1211.73,-164.002,42.544
1272.73,16.15,144.57,1250.21,-173.789,49.481
1313.08,15.42,145.64,1289.04,-182.787,55.759
1353.43,15.54,145.81,1327.92,-191.683,61.822
1393.74,15.68,134.88,1366.75,-199.992,68.716
1434.06,16.31,123.73,1405.52,-206.980,77.284
1474.42,18.16,110.38,1444.08,-212.318,87.894
1514.76,21.78,110.07,1481.99,-217.075,100.817
1555.11,23.34,111.89,1519.25,-222.623,115.261
1595.46,24.60,113.51,1556.12,-228.951,130.374
1635.81,26.12,116.02,1592.58,-236.196,146.053
1676.14,25.75,111.05,1628.86,-243.235,162.204
1716.50,25.56,105.93,1665.24,-248.773,178.754
1756.82,25.59,106.13,1701.61,-253.578,195.478
1797.22,25.55,107.65,1738.06,-258.641,212.156
1837.56,25.47,106.67,1774.46,-263.766,228.749
1877.90,25.62,106.64,1810.86,-268.749,245.409
1918.25,25.57,108.44,1847.25,-274.000,262.022
1958.61,25.50,107.99,1883.67,-279.437,278.542
1998.97,26.11,107.77,1920.00,-284.828,295.257
2039.32,25.96,107.45,1956.26,-290.185,312.131
2079.67,26.64,109.21,1992.43,-295.808,329.094
2120.01,26.48,109.43,2028.52,-301.773,346.109
2160.35,26.41,110.00,2064.63,-307.831,363.015
2200.70,26.70,109.90,2100.73,-313.984,379.965
2241.06,26.47,109.31,2136.82,-320.042,396.974
2281.44,26.44,106.54,2172.97,-325.576,414.080
2321.84,26.41,106.65,2209.15,-330.709,431.304
2362.19,26.58,106.32,2245.26,-335.815,448.559
2402.55,26.67,106.08,2281.34,-340.859,465.922
2442.90,26.50,105.54,2317.43,-345.778,483.290
2483.25,27.05,106.30,2353.45,-350.763,500.763
2523.62,27.47,106.17,2389.34,-355.930,518.510
2563.96,27.40,105.47,2425.14,-360.996,536.386
2604.31,26.84,107.02,2461.06,-366.137,554.039
2644.66,27.58,113.83,2496.95,-372.576,571.292
2685.02,27.86,122.13,2532.69,-381.367,587.825
2696.43,28.19,124.71,2542.76,-384.318,592.297
2740.79,29.63,133.70,2581.61,-397.863,608.841
2773.90,31.22,140.01,2610.17,-410.092,620.272
2800.66,31.75,145.84,2633.00,-421.230,628.682
2840.30,31.62,150.50,2666.73,-438.901,639.653
2879.85,32.11,155.23,2700.33,-457.465,649.160
2920.07,32.76,160.49,2734.28,-477.426,657.272
2959.08,34.44,162.51,2766.77,-497.890,664.110
3001.10,35.31,165.32,2801.25,-520.964,670.757
3041.46,36.60,171.51,2833.93,-544.148,675.490
3081.29,37.88,178.79,2865.65,-568.122,677.501
3121.75,40.87,183.49,2896.93,-593.756,676.958
3162.81,43.81,186.08,2927.28,-621.296,674.635
3203.53,46.88,187.49,2955.90,-650.043,671.205
3244.08,50.42,190.19,2982.68,-680.098,666.511
3284.75,52.56,193.10,3008.01,-711.246,660.079
3325.09,54.85,195.14,3031.89,-742.759,652.143
3365.11,55.23,196.13,3054.82,-774.332,643.306
3404.82,55.15,197.06,3077.49,-805.567,633.998
3444.78,54.88,199.93,3100.40,-836.599,623.619
3484.98,54.67,202.72,3123.59,-867.175,611.684
3510.00,54.67,202.72,3138.06,-885.996,603.803
