DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,AVG_CHOKE_SIZE_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2008-02-12,15/9-F-12,11.500,308.056,104.418,106.806,14.484,284.650,38888.670,385.010,,production,OP
2008-02-13,15/9-F-12,24.000,303.034,105.403,120.889,22.833,1869.700,285246.160,7.130,,production,OP
2008-02-14,15/9-F-12,22.500,295.586,105.775,113.718,31.250,3124.090,509954.880,1.160,,production,OP
2008-02-15,15/9-F-12,23.150,297.663,105.752,116.831,28.519,2608.280,383426.670,0.970,,production,OP
2008-02-16,15/9-F-12,24.000,295.936,105.811,115.434,30.228,3051.800,418474.000,4.890,,production,OP
2008-02-17,15/9-F-12,24.000,295.552,105.831,115.206,29.974,2982.630,422763.000,1.850,,production,OP
2008-02-18,15/9-F-12,23.000,294.211,105.866,113.282,30.308,2980.520,413831.000,6.480,,production,OP
2008-02-19,15/9-F-12,24.000,293.829,105.868,113.769,30.487,3046.190,429218.000,0.730,,production,OP
2008-02-20,15/9-F-12,24.000,293.061,105.879,113.400,29.907,3057.180,442982.750,0.460,,production,OP
2008-02-21,15/9-F-12,24.000,292.540,105.883,113.106,30.493,3030.330,423809.160,0.450,,production,OP
2008-02-22,15/9-F-12,23.667,292.362,105.882,113.079,29.634,2907.560,397808.000,0.440,,production,OP
2008-02-23,15/9-F-12,15.142,292.088,105.849,112.603,28.957,1851.720,252078.000,0.280,,production,OP
2008-02-24,15/9-F-12,24.000,290.542,105.906,111.187,30.800,3126.700,442808.000,0.470,,production,OP
2008-02-25,15/9-F-12,24.000,290.208,105.896,111.450,30.683,3045.540,439178.000,0.460,,production,OP
2008-02-26,15/9-F-12,24.000,289.536,105.902,110.934,30.923,3046.540,446905.000,0.460,,production,OP
2008-02-27,15/9-F-12,24.000,288.933,105.902,110.326,30.849,3035.540,445616.000,0.460,,production,OP
2008-02-28,15/9-F-12,23.667,288.848,105.896,110.629,29.900,2971.550,424674.000,0.450,,production,OP
2008-02-29,15/9-F-12,24.000,287.514,105.907,109.447,31.024,3070.540,450348.000,0.460,,production,OP
2008-03-01,15/9-F-12,24.000,286.892,105.909,108.827,31.062,3068.480,447584.120,0.460,,production,OP
2008-03-02,15/9-F-12,24.000,286.265,105.911,108.321,31.087,3066.540,446144.000,0.460,,production,OP
2008-03-03,15/9-F-12,24.000,285.728,105.910,108.059,30.964,3043.540,443726.000,0.460,,production,OP
2008-03-04,15/9-F-12,24.000,285.382,105.904,108.075,30.602,2983.190,430246.720,0.450,,production,OP
2008-03-05,15/9-F-12,24.000,284.829,105.902,107.869,30.576,2967.050,437688.200,0.450,,production,OP
2008-03-06,15/9-F-12,24.000,284.295,105.899,107.310,30.589,2950.880,432727.000,1.740,,production,OP
2008-03-07,15/9-F-12,22.833,284.424,105.878,107.754,28.825,2656.620,391264.600,1.570,,production,OP
2008-03-08,15/9-F-12,23.000,284.413,105.871,108.031,27.948,2578.480,365769.000,1.520,,production,OP
2008-03-09,15/9-F-12,24.000,282.386,105.905,105.930,31.159,2996.830,427791.000,1.770,,production,OP
2008-03-10,15/9-F-12,24.000,281.522,105.906,105.290,31.305,3021.400,440679.000,0.600,,production,OP
2008-03-11,15/9-F-12,24.000,280.894,105.908,104.811,31.370,3010.400,450972.000,0.600,,production,OP
2008-03-12,15/9-F-12,23.775,281.085,105.895,105.053,29.859,2794.440,418887.000,0.560,,production,OP
2008-03-13,15/9-F-12,24.000,279.488,105.916,103.441,31.643,3058.890,458524.000,0.610,,production,OP
2008-03-14,15/9-F-12,23.833,279.112,105.912,103.219,30.927,2964.810,428015.000,0.590,,production,OP
2008-03-15,15/9-F-12,24.000,277.951,105.915,102.140,32.074,3131.370,454137.000,0.630,,production,OP
2008-03-16,15/9-F-12,24.000,277.293,105.917,101.739,32.052,3135.370,454798.000,0.630,,production,OP
2008-03-17,15/9-F-12,24.000,276.564,105.921,101.299,32.074,3143.370,470240.000,0.630,,production,OP
2008-03-18,15/9-F-12,24.000,275.983,105.919,100.911,32.046,3132.370,425284.440,0.630,,production,OP
2008-03-19,15/9-F-12,24.000,275.363,105.918,100.460,32.045,3139.620,454093.330,0.630,,production,OP
2008-03-20,15/9-F-12,24.000,274.793,105.915,100.124,32.012,3156.670,467465.720,0.630,,production,OP
2008-03-21,15/9-F-12,24.000,274.072,105.916,99.574,32.087,3192.140,458447.400,0.640,,production,OP
2008-03-22,15/9-F-12,24.000,273.456,105.915,99.172,32.078,3172.120,458028.490,0.630,,production,OP
2008-03-23,15/9-F-12,24.000,272.881,105.913,98.793,32.061,3160.260,466335.260,0.630,,production,OP
2008-03-24,15/9-F-12,24.000,272.237,105.913,98.402,32.128,3153.350,468479.650,0.630,,production,OP
2008-03-25,15/9-F-12,24.000,271.684,105.910,98.039,32.042,3130.580,406562.100,0.630,,production,OP
2008-03-26,15/9-F-12,7.475,271.419,105.907,97.897,30.925,960.260,113341.210,1.640,,production,OP
2008-03-27,15/9-F-12,0.000,283.710,104.030,1.178,,0.000,0.000,0.000,,production,OP
2008-03-28,15/9-F-12,1.192,279.416,104.714,92.241,21.333,73.440,48936.440,0.130,,production,OP
2008-03-29,15/9-F-12,24.000,271.468,105.870,97.277,32.000,3137.260,509074.880,3.390,,production,OP
2008-03-30,15/9-F-12,10.975,270.742,105.902,97.369,30.683,1430.950,137396.400,1.550,,production,OP
2008-03-31,15/9-F-12,14.025,271.557,105.862,98.122,31.000,1950.580,378532.950,1.930,,production,OP
2008-04-01,15/9-F-12,24.000,270.360,105.889,97.431,29.812,3060.600,457837.180,2.820,,production,OP
2008-04-02,15/9-F-12,24.000,269.645,105.894,96.658,31.818,3053.670,461808.990,2.810,,production,OP
2008-04-03,15/9-F-12,24.000,268.862,105.897,96.117,32.001,3103.120,372985.570,2.860,,production,OP
2008-04-04,15/9-F-12,24.000,268.180,105.897,95.691,32.081,3110.680,463717.130,2.860,,production,OP
2008-04-05,15/9-F-12,24.000,267.456,105.895,95.140,32.201,3303.300,463529.900,3.040,,production,OP
2008-04-06,15/9-F-12,24.000,266.855,105.887,94.788,32.211,3028.410,440906.090,153.360,,production,OP
2008-04-07,15/9-F-12,24.000,266.476,105.872,94.740,32.033,2998.800,452369.440,151.860,,production,OP
2008-04-08,15/9-F-12,24.000,265.900,105.861,94.544,32.048,3054.120,451030.480,4.340,,production,OP
2008-04-09,15/9-F-12,24.000,265.395,105.853,94.217,32.000,3025.800,463595.310,4.910,,production,OP
2008-04-10,15/9-F-12,24.000,264.921,105.846,93.812,31.252,3003.220,468712.000,4.090,,production,OP
2008-04-11,15/9-F-12,24.000,264.334,105.840,93.622,31.944,3015.970,458936.650,10.440,,production,OP
2008-04-12,15/9-F-12,12.975,264.008,105.838,93.149,30.885,1615.370,242280.010,2.910,,production,OP
2008-04-13,15/9-F-12,4.000,268.096,105.480,93.618,25.823,429.770,65731.440,1.730,,production,OP
2008-04-14,15/9-F-12,21.260,265.611,105.617,83.884,28.764,2578.630,413142.560,3.620,,production,OP
2008-04-15,15/9-F-12,20.550,263.676,105.818,93.037,32.061,2494.260,400308.200,3.500,,production,OP
2008-04-16,15/9-F-12,24.000,263.010,105.646,93.000,31.904,2847.560,462314.880,3.990,,production,OP
2008-04-17,15/9-F-12,9.375,262.978,105.809,92.812,31.653,1120.570,184080.600,1.100,,production,OP
2008-04-18,15/9-F-12,21.570,263.174,105.786,92.884,31.719,2448.140,372536.860,2.400,,production,OP
2008-04-19,15/9-F-12,22.712,263.142,105.777,93.021,30.033,2513.650,383126.440,2.470,,production,OP
2008-04-20,15/9-F-12,24.000,262.170,105.787,92.639,31.483,2752.750,418498.590,2.700,,production,OP
2008-04-21,15/9-F-12,24.000,261.610,105.783,92.326,31.520,2752.300,426345.050,2.700,,production,OP
2008-04-22,15/9-F-12,24.000,261.115,105.777,92.169,31.483,2737.240,422378.970,2.310,,production,OP
2008-04-23,15/9-F-12,24.000,260.558,105.771,91.860,31.487,2735.530,422115.010,-14.190,,production,OP
2008-04-24,15/9-F-12,24.000,260.127,105.769,91.578,30.814,2730.330,474459.400,93.870,,production,OP
