# Equinor Volve definitive survey 15/9-F-5 (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,-4.680,0.915
146.00,0.00,0.00,146.00,-4.680,0.915
154.90,0.16,221.03,154.90,-4.689,0.907
195.30,0.28,98.15,195.30,-4.746,0.968
235.60,0.64,43.64,235.60,-4.597,1.220
276.00,1.51,188.03,275.99,-4.961,1.302
316.40,2.21,178.31,316.37,-6.266,1.250
356.70,4.11,173.29,356.61,-8.476,1.442
397.10,7.66,171.91,396.79,-12.580,1.990
437.50,9.13,178.88,436.76,-18.449,2.432
477.80,10.58,180.10,476.46,-25.343,2.488
518.20,11.35,177.18,516.12,-33.020,2.677
558.50,11.51,168.58,555.63,-40.920,3.668
598.90,12.38,160.99,595.16,-48.963,5.876
639.30,13.56,152.14,634.53,-57.243,9.499
679.60,14.30,144.14,673.65,-65.452,14.621
720.00,15.63,138.03,712.68,-73.540,21.182
760.40,18.50,128.65,751.30,-81.590,29.827
800.70,21.63,122.01,789.16,-89.520,41.119
841.10,23.86,117.08,826.42,-97.186,54.707
881.50,26.84,113.98,862.92,-104.611,70.314
921.80,25.33,116.92,899.12,-112.210,86.309
962.20,22.47,119.01,936.05,-119.866,100.765
1002.60,19.82,122.15,973.73,-127.254,113.314
1043.00,17.20,122.87,1012.04,-134.139,124.128
1083.30,15.00,123.11,1050.75,-140.221,133.498
1123.70,17.73,118.94,1089.51,-146.052,143.260
1164.10,21.77,113.96,1127.53,-152.072,155.491
1204.40,26.13,110.24,1164.36,-158.178,170.650
1244.80,29.60,108.19,1200.07,-164.371,188.475
1285.20,31.04,109.95,1234.94,-171.037,207.740
1325.60,28.60,112.14,1269.99,-178.234,226.484
1365.90,25.50,114.90,1305.88,-185.521,243.286
1406.30,29.89,114.65,1341.64,-193.382,260.325
1446.60,31.10,113.78,1376.37,-201.765,278.970
1487.00,31.91,113.02,1410.81,-210.145,298.339
1527.30,31.93,113.02,1445.02,-218.474,317.944
1567.70,32.67,110.91,1479.17,-226.541,337.956
1608.00,33.69,107.70,1512.90,-233.820,358.760
1648.40,34.24,106.15,1546.41,-240.386,380.345
1688.80,34.99,103.16,1579.66,-246.183,402.535
1729.10,35.88,101.36,1612.49,-251.138,425.358
1769.50,35.93,103.37,1645.22,-256.210,448.490
1809.80,35.95,104.77,1677.85,-261.958,471.424
1850.20,35.83,106.25,1710.58,-268.288,494.236
1890.60,36.05,109.56,1743.29,-275.575,516.784
1930.90,36.80,111.45,1775.72,-283.956,539.186
1971.30,36.16,113.43,1808.20,-293.118,561.377
2011.70,35.90,113.73,1840.87,-302.620,583.149
2052.00,34.88,114.41,1873.73,-312.134,604.452
2092.40,33.50,112.95,1907.14,-321.253,625.232
2132.70,32.25,110.97,1940.99,-329.435,645.507
2173.00,32.85,108.23,1974.96,-336.700,665.923
2213.40,32.96,103.95,2008.89,-342.776,686.992
2253.70,33.13,101.52,2042.67,-347.617,708.416
2294.10,33.06,98.75,2076.52,-351.497,730.118
2334.40,33.27,95.46,2110.25,-354.220,751.981
2374.80,33.48,93.92,2143.99,-356.036,774.122
2415.20,33.45,93.04,2177.69,-357.388,796.350
2455.60,33.33,91.93,2211.43,-358.352,818.554
2496.00,32.61,92.01,2245.32,-359.107,840.519
2536.30,31.90,90.38,2279.40,-359.558,862.012
2576.70,31.49,87.08,2313.78,-359.092,883.219
2617.10,31.21,84.61,2348.28,-357.571,904.171
2657.40,31.29,83.98,2382.74,-355.494,924.966
2697.80,31.42,85.86,2417.24,-353.634,945.896
2738.20,31.03,84.46,2451.78,-351.869,966.756
2775.50,30.68,81.14,2483.81,-349.476,985.722
2789.43,30.65,80.78,2495.79,-348.360,992.736
2829.57,30.89,78.69,2530.28,-344.701,1012.933
2866.88,30.86,77.50,2562.30,-340.753,1031.660
2904.41,31.20,77.01,2594.46,-336.486,1050.523
2913.31,31.86,76.70,2602.05,-335.428,1055.053
2927.67,32.38,76.45,2614.21,-333.656,1062.477
2954.56,34.03,71.62,2636.71,-329.597,1076.616
2995.22,36.51,61.44,2669.94,-320.220,1098.051
3036.42,36.77,55.01,2703.01,-307.289,1118.919
3076.71,37.73,48.33,2735.09,-292.177,1138.008
3117.15,37.11,43.61,2767.21,-275.120,1155.664
3157.49,35.73,34.79,2799.70,-256.628,1170.784
3197.04,34.20,28.91,2832.12,-237.414,1182.746
3236.87,31.59,21.36,2865.57,-217.895,1191.960
3253.79,30.18,19.04,2880.09,-209.749,1194.961
3278.34,28.32,16.57,2901.51,-198.337,1198.634
3318.98,30.91,22.37,2936.85,-179.445,1205.356
3359.21,34.92,27.52,2970.62,-159.673,1214.611
3398.47,40.44,30.90,3001.68,-138.770,1226.348
3439.55,44.73,31.42,3031.92,-114.999,1240.728
3479.32,47.93,28.18,3059.38,-90.044,1254.995
3520.35,50.65,26.17,3086.14,-62.386,1269.182
3559.87,53.98,23.14,3110.30,-33.973,1282.202
3601.65,54.71,22.31,3134.66,-2.672,1295.311
3642.07,54.84,22.15,3157.97,27.882,1307.798
3682.43,55.13,22.24,3181.13,58.477,1320.281
3722.88,53.47,22.04,3204.73,88.892,1332.656
3761.77,52.67,22.04,3228.10,117.697,1344.318
3792.00,52.67,22.04,3246.43,139.971,1353.335
