# RECONSTRUCTED: smooth path through the official Volve formation-pick coordinates of 15/9-F-1 C (no public definitive survey)
MD,INC,AZI,TVD,NS,EW
1337.86,13.881,254.696,1321.85,60.90,-120.89
1347.81,14.030,254.196,1331.41,60.26,-123.18
1357.75,14.176,253.719,1340.97,59.60,-125.49
1367.70,14.318,253.264,1350.52,58.91,-127.81
1377.65,14.456,252.828,1360.08,58.20,-130.16
1387.59,14.590,252.413,1369.63,57.46,-132.52
1397.54,14.719,252.016,1379.18,56.69,-134.90
1407.49,14.845,251.637,1388.73,55.91,-137.29
1417.43,14.966,251.274,1398.28,55.10,-139.70
1427.38,15.082,250.928,1407.83,54.27,-142.13
1437.33,15.195,250.598,1417.37,53.42,-144.56
1447.27,15.302,250.282,1426.91,52.55,-147.02
1457.22,15.406,249.980,1436.45,51.66,-149.48
1467.16,15.504,249.693,1445.99,50.75,-151.96
1477.11,15.598,249.418,1455.53,49.82,-154.44
1487.06,15.688,249.156,1465.07,48.88,-156.94
1497.00,15.773,248.906,1474.60,47.91,-159.45
1506.95,15.853,248.668,1484.14,46.94,-161.97
1516.90,15.928,248.442,1493.67,45.95,-164.49
1526.84,15.999,248.226,1503.20,44.94,-167.03
1536.79,16.065,248.021,1512.73,43.92,-169.57
1546.74,16.126,247.826,1522.26,42.88,-172.12
1556.68,16.182,247.641,1531.79,41.84,-174.67
1566.63,16.234,247.466,1541.32,40.78,-177.23
1576.58,16.281,247.301,1550.84,39.71,-179.79
1586.52,16.323,247.144,1560.37,38.63,-182.36
1596.47,16.360,246.997,1569.89,37.55,-184.93
1606.42,16.392,246.859,1579.42,36.45,-187.51
1616.36,16.419,246.729,1588.94,35.34,-190.09
1626.31,16.442,246.608,1598.46,34.23,-192.66
1636.26,16.459,246.495,1607.99,33.11,-195.24
1646.20,16.472,246.390,1617.51,31.99,-197.82
1656.15,16.479,246.293,1627.03,30.86,-200.40
1666.10,16.482,246.204,1636.55,29.72,-202.98
1676.04,16.480,246.123,1646.07,28.59,-205.56
1685.99,16.473,246.050,1655.59,27.44,-208.13
1695.94,16.461,245.985,1665.11,26.30,-210.70
1705.88,16.443,245.928,1674.62,25.16,-213.27
1715.83,16.421,245.878,1684.14,24.01,-215.83
1725.78,16.394,245.836,1693.66,22.86,-218.39
1735.72,16.362,245.801,1703.18,21.72,-220.94
